Loci,lib_2435,lib_2436,lib_2437,lib_2438,lib_2439,lib_2440,lib_2441,lib_2495,lib_2496,lib_2497,lib_2498,lib_2499,lib_2500,lib_2501,lib_2502,lib_2503,lib_2504,lib_2505,lib_2506,lib_2507,lib_2508,lib_2509,lib_2510,lib_2511,lib_2512,lib_2513,lib_2514,lib_2515,lib_2516,lib_2517,lib_2518,lib_2519,lib_2520,lib_2521,lib_2522,lib_2596,lib_2597,lib_2598,lib_2599,lib_2600,lib_2601,lib_2602,lib_2523,lib_2524,lib_2525,lib_2526,lib_2527,lib_2528,lib_1588,lib_1589,norm_sum,max_norm,lib_2435,lib_2436,lib_2437,lib_2438,lib_2439,lib_2440,lib_2441,lib_2495,lib_2496,lib_2497,lib_2498,lib_2499,lib_2500,lib_2501,lib_2502,lib_2503,lib_2504,lib_2505,lib_2506,lib_2507,lib_2508,lib_2509,lib_2510,lib_2511,lib_2512,lib_2513,lib_2514,lib_2515,lib_2516,lib_2517,lib_2518,lib_2519,lib_2520,lib_2521,lib_2522,lib_2596,lib_2597,lib_2598,lib_2599,lib_2600,lib_2601,lib_2602,lib_2523,lib_2524,lib_2525,lib_2526,lib_2527,lib_2528,lib_1588,lib_1589,norm_sum,max_norm
12_22050635_22050863,0,5,72,69,46,47,40,0,17,89,72,28,31,13,7,10,99,96,22,34,8,0,6,75,50,32,21,9,0,6,61,46,20,28,10,0,9,85,56,21,16,4,4,54,28,14,57,17,1,2,1537,207,1,1,0,1,1,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,1,0,0,0,1,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,23,11,2,2
12_22051833_22052103,0,0,37,25,2,2,4,1,5,45,39,4,2,0,1,3,26,27,3,0,0,0,3,57,34,5,11,4,0,1,36,22,3,2,1,0,3,41,23,6,3,2,3,28,10,6,27,8,0,1,566,96,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,10,6,1,1
12_22053944_22054298,7,39,680,462,422,263,140,8,130,1018,899,448,159,66,22,50,674,695,230,109,15,8,30,1052,848,401,261,123,4,41,713,1026,514,291,86,1,50,884,911,423,232,70,113,915,236,181,1050,108,5,9,17122,1673,2,1,0,0,11,13,2,6,4,0,0,10,20,10,9,0,0,2,19,32,19,9,1,3,3,4,11,1,5,1,0,3,7,11,7,6,0,2,1,9,12,8,5,0,5,24,7,9,18,7,5,2,343,119,5,2
