sample_id,molecule_h5,batch,group
E16-5-lens,/home/anand/0.work/1.scseq/run_count_E16_5_lens/outs/molecule_info.h5,1,dev
P0,/home/anand/0.work/1.scseq/run_count_P0/outs/molecule_info.h5,1,dev
